uw_price,uw_rank,socre,Underwriter Name,Rank8084,Rank8591,Rank9200,Rank0104,Rank0507,Rank0809,Rank1011,Rank1217,Rank1820,Unnamed: 10
Canter Fitzgerald,"Cantor, Fitzgerald & Co., Inc.",78,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
"C.E. Unterberg, Towbin",CE Unterberg Towbin,97,CE Unterberg Towbin,-9.0,-9.0,6.001,6.001,-9.0,-9.0,-9.0,-9.0,-9.0,
 Barclay Capital,Barclays Capital,97,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
CRT Capital Group,Wit Capital Group Inc,87,Wit Capital Group Inc,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,,,
Keefe Bruyette Woods,Keefe Bruyette & Woods Inc,100,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
Roth Capital Partners,Roth Capital Partners Inc,100,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
CICC,China International Capital Corp (CICC),100,China International Capital Corp (CICC),-9.0,-9.0,7.001,8.001,8.001,8.001,8.001,8.001,8.501,
Ryan Beck,Ryan Beck & Co,100,Ryan Beck & Co,-9.0,7.0,5.001,5.001,-9.0,-9.0,-9.0,,,
 Wedbush PacGrow Life Sciences,Wedbush Securities,60,Wedbush Securities,-9.0,5.001,5.001,-9.0,-9.0,-9.0,-9.0,,,
Broadband Capital Management LLC,Broadband Capital Management,100,Broadband Capital Management,-9.0,-9.0,-9.0,1.001,1.001,1.001,2.001,-9.0,-9.0,
 Tiger Brokers,Tiger Brokers,100,Tiger Brokers,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.001,
DB Alex Brown,Deutsche Banc Alex Brown,87,Deutsche Banc Alex Brown,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
 China Renaissance,China Renaissance (CRS),100,China Renaissance (CRS),-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,8.001,
"Donaldson, Lufkin & Jenrette",Donaldson Lufkin & Jenrette,100,Donaldson Lufkin & Jenrette,7.0,8.75,9.001,-9.0,-9.0,-9.0,-9.0,,,
" BofAMerrill Lynch, Pierce","Merrill Lynch, Pierce, Fenner",82,"Merrill Lynch, Pierce, Fenner",-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
 Oppenheimer,Oppenheimer & Co Inc,100,Oppenheimer & Co Inc,7.5,7.875,8.001,-9.0,7.001,7.001,7.001,7.001,,
 Itaú BBA,Banco Itau-BBA,67,Banco Itau-BBA,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,,
 SVB Leerink,Leerink-SVB,100,Leerink-SVB,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,7.001,
"Keefe, Bruyette",Keefe Bruyette & Woods Inc,100,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
 BofA Securities,BA Securities,93,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Newbridge Securities,Newbridge Securities,100,Newbridge Securities,-9.0,-9.0,-9.0,2.001,2.001,2.001,2.001,,,
"Ladenburg, Thalmann",Ladenburg Thalmann & Co,100,Ladenburg Thalmann & Co,5.0,6.0,6.001,6.001,6.001,6.001,6.001,,,
 UBS Investment Bank,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
Goldman Sachs In't,Goldman Sachs & Co,90,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
Morgan Joseph,Morgan-Joseph,100,Morgan-Joseph,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,4.001,,,
 BMO Capital Market,BMO Capital Markets,97,BMO Capital Markets,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,
 Clarkson Capital Markets,AB Capital Markets,91,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 RBC Capital Markets,RBC Capital Markets,100,RBC Capital Markets,-9.0,-9.0,-9.0,7.001,7.001,8.001,8.001,8.001,8.001,
Legg Mason,Legg Mason Wood Walker,100,Legg Mason Wood Walker,5.0,7.125,7.001,7.001,7.001,7.001,-9.0,-9.0,-9.0,Legg Mason was acquired by Stifel in 2005
"Goldman, Sachs & Co. ",Goldman Sachs & Co,100,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 Scotia Howard Weil,Howard Weil Labouisse Freid,76,Howard Weil Labouisse Freid,5.0,5.75,5.001,-9.0,-9.0,-9.0,-9.0,,,
 Citigroup,Citigroup Global Markets Inc,100,Citigroup Global Markets Inc,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,9.001,9.001,9.001,
 Wells Fargo Securities ,Wells Fargo,100,Wells Fargo,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,8.001,8.001,8.001,
 Taglich Brothers,"Taglich Brothers, Inc.",100,"Taglich Brothers, Inc.",-9.0,-9.0,-9.0,-9.0,2.001,2.001,-9.0,,,
Broadband Capital Management,Broadband Capital Management,100,Broadband Capital Management,-9.0,-9.0,-9.0,1.001,1.001,1.001,2.001,-9.0,-9.0,
D.A. Davidson & Co.,DA Davidson & Co Inc,85,DA Davidson & Co Inc,5.001,4.375,5.001,-9.0,4.001,4.001,-9.0,5.001,,
 Evercore ISI ,Evercore,100,Evercore,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,
 William Blair,William Blair & Co,100,William Blair & Co,5.0,7.875,7.001,7.001,7.001,7.001,7.001,7.001,,
Aegis Capital Corp.,Aegis Capital,100,Aegis Capital,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,3.001,3.001,3.001,
Prudential Securities,Prudential-Bache Securities,100,Prudential-Bache Securities,8.001,8.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Pali Capital,"Pali Capital, Inc.",100,"Pali Capital, Inc.",-9.0,-9.0,-9.0,-9.0,2.001,2.001,-9.0,,,
 Ladenburg Thalmann,Ladenburg Thalmann & Co,100,Ladenburg Thalmann & Co,5.0,6.0,6.001,6.001,6.001,6.001,6.001,,,
 Stifel,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Bear Streans,Bear Stearns & Co Inc,71,Bear Stearns & Co Inc,8.0,8.75,8.001,8.001,8.001,8.001,-9.0,-9.0,-9.0,
 ViewTrade Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Dahlman Rose,Dahlman-Rose,100,Dahlman-Rose,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,,,
Evercore ISI,Evercore,100,Evercore,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,
Cohen ,"Adams, Cohen",100,"Adams, Cohen",-9.0,5.001,6.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
MSDW,Mesirow,55,Mesirow,-9.0,4.75,-9.0,-9.0,-9.0,-9.0,-9.0,,,
"Friedman, Billings",Friedman Billings Ramsey Group,100,Friedman Billings Ramsey Group,-9.0,-9.0,5.001,5.001,5.001,5.001,5.001,5.001,,
 Leerink Partners,Leerink-SVB,78,Leerink-SVB,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,7.001,
Stanford Group,Stanford Group,100,Stanford Group,-9.0,-9.0,-9.0,-9.0,5.001,5.001,-9.0,,,
 SOCIETE ,Societe Generale Securities,100,Societe Generale Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,7.001,,,
Legg Mason Wood Walker,Legg Mason Wood Walker,100,Legg Mason Wood Walker,5.0,7.125,7.001,7.001,7.001,7.001,-9.0,-9.0,-9.0,Legg Mason was acquired by Stifel in 2005
Wedbush Morgan,Wedbush Morgan Securities,100,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
Citigroup Capital Markets,Citigroup,100,Citigroup,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
Maxin Group,Maxim Group LLC,77,Maxim Group LLC,-9.0,-9.0,-9.0,2.001,3.001,3.001,3.001,3.001,3.001,
WR Hambrecht + Co.,W.R. Hambrecht & Company,78,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
Maxim Group ,Maxim Group LLC,100,Maxim Group LLC,-9.0,-9.0,-9.0,2.001,3.001,3.001,3.001,3.001,3.001,
W.R. Hambrecht + Co.,W.R. Hambrecht & Company,90,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
LG Investment & Securities,LG Investment & Securities,100,LG Investment & Securities,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,,,
​J.P. Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
Citigroup,Citigroup Global Markets Inc,100,Citigroup Global Markets Inc,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,9.001,9.001,9.001,
UBS Investment Bank,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
Deuteche Bank,Deutsche Bank AG,83,Deutsche Bank AG,-9.0,-9.0,9.001,9.001,-9.0,-9.0,-9.0,,,
 J. P. Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
Merrill Lymch,Merrill Lynch & Co Inc,73,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
KKR,KKR Capital,100,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
 Haitong International,Haitong International,100,Haitong International,,,,,,,,,8.001,
Lynch,Merrill Lynch White Weld Cptl,100,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Punk Ziegel,Punk Ziegel & Knoell,100,Punk Ziegel & Knoell,-9.0,-9.0,6.001,-9.0,-9.0,-9.0,-9.0,,,
I-Baners,ING Barings,63,ING Barings,-9.0,-9.0,7.001,7.001,-9.0,-9.0,-9.0,,,
Canaccord Genuity,Canaccord Genuity,100,Canaccord Genuity,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.001,6.001,,
Creidt Suisse,Credit Suisse,92,Credit Suisse,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,
National Securities,National Securities (Taiwan),100,National Securities (Taiwan),-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
I-Bankers Securities ,I-Bankers Securities Inc,100,I-Bankers Securities Inc,-9.0,-9.0,3.001,2.001,2.001,2.001,2.001,,,
Wunderlich Securities,"Wunderlich Securities, Inc.",100,"Wunderlich Securities, Inc.",-9.0,-9.0,-9.0,-9.0,3.001,3.001,4.001,4.001,,
 I-Bankers,I-Bankers Securities Inc,100,I-Bankers Securities Inc,-9.0,-9.0,3.001,2.001,2.001,2.001,2.001,,,
 GoldmanSachs,Goldman Sachs & Co,86,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 BofAMerrill Lynch,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
First Van Kasper,First Security Van Kasper & Co,100,First Security Van Kasper & Co,-9.0,-9.0,6.001,-9.0,-9.0,-9.0,-9.0,,,
Brenner - Morgan Joseph,Morgan-Joseph,100,Morgan-Joseph,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,4.001,,,
Jefferies,Jefferies & Co Inc,100,Jefferies & Co Inc,-9.0,5.333,5.001,5.001,5.001,6.001,8.001,8.001,8.001,
JP Morgan,JP Morgan (JPM),100,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
EarlyBird Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
CIBC Capital Markets,AIB Capital Markets,92,AIB Capital Markets,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,,,
 Evercore,Evercore,100,Evercore,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,
J.P.  Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
" Keefe, Bruyette & Woods (A Stifel Company​)",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Cit,Cial,57,Cial,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Stifel Niclous Weisel,Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
AG Edwrads,AG Edwards & Sons Inc,62,AG Edwards & Sons Inc,6.5,8.0,7.001,7.001,7.001,7.001,-9.0,-9.0,-9.0,
 Huatai Securities (USA),BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
BBVA,Evans,44,Evans,-9.0,6.5,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Prime Number Capital,Prime Number Capital,100,Prime Number Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,7.001,
 China Merchants Securities (HK),China Merchants Securities,100,China Merchants Securities,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,4.001,
The Benchmark Company,The Benchmark Company,100,The Benchmark Company,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,4.001,
 Goldma Sachs,Goldman Sachs & Co,86,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 The Benchmark Company,The Benchmark Company,100,The Benchmark Company,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,4.001,
Sandler O'Neill,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
EarlyBirdCapital ,Earlybirdcapital Inc,100,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
Lehman Brothers,Shearson Lehman Brothers,100,Shearson Lehman Brothers,-9.0,8.833,9.001,-9.0,-9.0,-9.0,-9.0,,,
" Keefe, Bruyette & Woods ",Keefe Bruyette & Woods Inc,100,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
 Cuttone,Roney & Co,53,Roney & Co,-9.0,4.75,5.001,-9.0,-9.0,-9.0,-9.0,,,
 Scotiabank,Commerzbank AG,50,Commerzbank AG,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
​Credit Suisse,Credit Suisse First Boston,100,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
"Network 1 Financial Securities,",Network 1 Financial Securities,100,Network 1 Financial Securities,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Merrill Lnych,Merrill Lynch & Co Inc,73,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
 William Blair ,William Blair & Co,100,William Blair & Co,5.0,7.875,7.001,7.001,7.001,7.001,7.001,7.001,,
 Cantor Fitzgerald,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
J.P. Morgan Securities Merrill Lynch,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Chardan,"Chardan Capital Markets, LLC",100,"Chardan Capital Markets, LLC",-9.0,-9.0,-9.0,-9.0,2.001,2.001,3.001,3.001,4.001,
Roth Capital,Roth Capital Partners Inc,100,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
 MUFG,Emanuel,36,Emanuel,-9.0,2.001,2.001,-9.0,-9.0,-9.0,-9.0,,,
" Goldman, Sachs ",Goldman Sachs Asia,100,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
Citi,Citigroup,62,Citigroup,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
ML,Mikal,57,Mikal,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 BofA Merrill Lynch​,Merrill Lynch White Weld Cptl,84,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 FBR Capital Markets,AB Capital Markets,92,AB Capital Markets,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Noble International Investments,Noble International Investment,98,Noble International Investment,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
Morgan Stanley Dean Witter & China Intl.,Morgan Stanley,100,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
 Barclay,"Barclay Investments, Inc.",100,"Barclay Investments, Inc.",-9.0,5.001,7.001,-9.0,-9.0,-9.0,8.001,,,
Pacific Growth Equities ,Pacific Growth Equities Inc,100,Pacific Growth Equities Inc,-9.0,-9.0,1.001,4.001,4.001,4.001,-9.0,,,
PrinceRidge,C&CO/PrinceRidge,100,C&CO/PrinceRidge,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,
BofA Merril Lynch,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Keeye Bruyette & Woods,Keefe Bruyette & Woods Inc,86,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
 Roth Capital Partners​,Roth Capital Partners Inc,100,Roth Capital Partners Inc,-9.0,-9.0,4.001,4.001,4.001,4.001,5.001,5.001,,
"Keefe, Bruyette & Woods (A Stifel Company) Sandler O'Neill + Partners",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
Utendhal Capital Partners,Utendahl Capital Partners,96,Utendahl Capital Partners,-9.0,-9.0,6.001,-9.0,-9.0,-9.0,-9.0,,,
Pactual Capital,Pactual Capital Corporation,100,Pactual Capital Corporation,-9.0,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,,,
Sandler O'Neill + Partners,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Oppenheimer,Oppenheimer & Co Inc,100,Oppenheimer & Co Inc,7.5,7.875,8.001,-9.0,7.001,7.001,7.001,7.001,,
Scott & Stringfellow,Scott & Stringfellow Financial,100,Scott & Stringfellow Financial,4.001,5.5,6.001,-9.0,5.001,5.001,-9.0,,,
 UBS Investment Ban,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
Piper Jafray,Piper Jaffray Inc,83,Piper Jaffray Inc,-9.0,-9.0,7.001,-9.0,7.001,7.001,7.501,7.501,7.501,
 CICC ,China International Capital Corp (CICC),100,China International Capital Corp (CICC),-9.0,-9.0,7.001,8.001,8.001,8.001,8.001,8.001,8.501,
 Sandler O’Neill + Partners,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
CS First Boston ,CS First Boston,100,CS First Boston,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,-9.0,,,
 Wachovia Securities,Wachovia Securities Inc,100,Wachovia Securities Inc,-9.0,-9.0,7.001,7.001,7.001,7.001,-9.0,,,
Santander,Santander Investment Bank,100,Santander Investment Bank,-9.0,-9.0,7.001,-9.0,-9.0,9.001,7.501,8.001,8.001,
"Keefe, Bruyette & Woods (A Stifel Company)",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
